======================= Mutual Information =========================

   SNR        BPSK        QPSK      16 QAM      64 QAM     256 QAM
  -7.9   0.2011619   0.2172058   0.1801512   0.1711703   0.1689868
  -7.8   0.2062646   0.2212400   0.1841093   0.1748801   0.1726401
  -7.7   0.2100881   0.2264234   0.1884570   0.1788098   0.1764983
  -7.6   0.2150462   0.2315452   0.1924778   0.1828358   0.1803679
  -7.5   0.2190820   0.2361574   0.1965635   0.1868876   0.1845000
  -7.4   0.2247378   0.2413163   0.2007408   0.1909882   0.1885327
  -7.3   0.2272486   0.2466605   0.2055980   0.1951990   0.1926774
  -7.2   0.2323166   0.2517691   0.2101015   0.1995453   0.1969543
  -7.1   0.2379742   0.2568523   0.2146559   0.2040869   0.2011884
  -7.0   0.2406849   0.2622642   0.2193531   0.2083678   0.2056411
  -6.9   0.2450223   0.2677864   0.2241378   0.2128963   0.2101552
  -6.8   0.2508195   0.2734614   0.2291858   0.2177214   0.2147856
